Date	            Water Level	                 Soiloisture
June 13th 2019, 9:58:05 p	0.09	1572
June 13th 2019, 10:00:05 p	0.01	1595
June 13th 2019, 10:02:05 p	0.02	1545
June 13th 2019, 10:03:06 p	0.08	1597
June 13th 2019, 10:05:05 p	0.02	1613
June 13th 2019, 10:06:05 p	0.02	1539
June 13th 2019, 10:08:05 p	0.01	1541
June 13th 2019, 10:09:05 p	0.09	1617
June 13th 2019, 10:10:05 p	0.01	1565
June 13th 2019, 10:11:05 p	0.02	1646
June 13th 2019, 10:12:05 p	0.08	1577
June 13th 2019, 10:13:05 p	0.09	1578
June 13th 2019, 10:15:05 p	0.02	1575
June 13th 2019, 10:16:05 p	0.02	1568
June 13th 2019, 10:17:05 p	0.02	1577
June 13th 2019, 10:20:05 p	0.02	1539
June 13th 2019, 10:21:05 p	0	1569
June 13th 2019, 10:22:05 p	0.02	1638
June 13th 2019, 10:26:06 p	0.02	1585
June 13th 2019, 10:27:05 p	0	1568
June 13th 2019, 10:28:06 p	0.07	1633
June 13th 2019, 10:29:05 p	0.04	1433
June 13th 2019, 10:30:05 p	0.09	1532
June 13th 2019, 10:31:05 p	0.02	1554
June 13th 2019, 10:33:05 p	0.02	1640
June 13th 2019, 10:34:05 p	0.1	1532
June 13th 2019, 10:35:05 p	0.02	1583
June 13th 2019, 10:36:05 p	0.08	1560
June 13th 2019, 10:37:06 p	0.1	1544
June 13th 2019, 10:38:05 p	0.02	1543
June 13th 2019, 10:39:05 p	0.02	1482
June 13th 2019, 10:40:06 p	0.1	1582
June 13th 2019, 10:41:05 p	0.1	1567
June 13th 2019, 10:42:05 p	0.11	1604
June 13th 2019, 10:43:05 p	0.02	1605
June 13th 2019, 10:44:06 p	0.01	1624
June 13th 2019, 10:45:05 p	0.01	1466
June 13th 2019, 10:46:06 p	0.07	1594
June 13th 2019, 10:47:06 p	0.08	1580
June 13th 2019, 10:48:05 p	0.1	1585
June 13th 2019, 10:49:06 p	0.1	1589
June 13th 2019, 10:50:06 p	0.09	1580
June 13th 2019, 10:51:06 p	0.01	1725
June 13th 2019, 10:52:05 p	0.01	1596
June 13th 2019, 10:53:05 p	0.09	1593
June 13th 2019, 10:54:05 p	0.01	1561
June 13th 2019, 10:55:05 p	0	1590
June 13th 2019, 10:56:07 p	0.01	1575
June 13th 2019, 10:57:05 p	0.1	1587
June 13th 2019, 10:58:06 p	0.08	1574
June 13th 2019, 11:03:05 p	0.01	1565
June 13th 2019, 11:04:06 p	0.08	1594
June 13th 2019, 11:06:06 p	0.02	1552
June 13th 2019, 11:08:06 p	0.09	1458
June 13th 2019, 11:10:05 p	0.08	1564
June 13th 2019, 11:11:05 p	0.03	1508
June 13th 2019, 11:12:06 p	0.09	1681
June 13th 2019, 11:14:06 p	0.1	1579
June 13th 2019, 11:18:05 p	0.03	1586
June 13th 2019, 11:19:05 p	0.09	1586
June 13th 2019, 11:20:05 p	0.01	1545
June 13th 2019, 11:21:05 p	0.1	1575
June 13th 2019, 11:22:05 p	0.02	1560
June 13th 2019, 11:23:05 p	0.09	1662
June 13th 2019, 11:24:05 p	0.03	1581
June 13th 2019, 11:25:05 p	0.09	1586
June 13th 2019, 11:27:05 p	0.1	1610
June 13th 2019, 11:28:05 p	0.09	1583
June 13th 2019, 11:29:06 p	0.1	1592
June 13th 2019, 11:30:06 p	0.02	1575
June 13th 2019, 11:31:05 p	0.09	1590
June 13th 2019, 11:32:06 p	0.1	1722
June 13th 2019, 11:33:05 p	0.1	1581
June 13th 2019, 11:34:05 p	0.1	1616
June 13th 2019, 11:35:06 p	0.02	1579
June 13th 2019, 11:36:06 p	0.1	1582
June 13th 2019, 11:37:06 p	0.1	1545
June 13th 2019, 11:39:06 p	0.09	1596
June 13th 2019, 11:40:06 p	0.1	1573
June 13th 2019, 11:41:06 p	0.1	1611
June 13th 2019, 11:42:06 p	0.02	1550
June 13th 2019, 11:43:06 p	0.1	1541
June 13th 2019, 11:44:06 p	0.1	1564
June 13th 2019, 11:45:06 p	0.1	1587
June 13th 2019, 11:46:06 p	0.1	1586
June 13th 2019, 11:47:07 p	0.1	1580
June 13th 2019, 11:48:05 p	0.1	1468
June 13th 2019, 11:49:06 p	0.1	1590
June 13th 2019, 11:50:05 p	0.1	1556
June 13th 2019, 11:51:05 p	0.1	1596
June 13th 2019, 11:52:06 p	0.09	1688
June 13th 2019, 11:53:06 p	0.01	1681
June 13th 2019, 11:54:07 p	0.01	1595
June 13th 2019, 11:55:05 p	0.08	1574
June 13th 2019, 11:57:05 p	0.09	1541
June 13th 2019, 11:58:06 p	0.01	1615
June 13th 2019, 11:59:05 p	0.08	1575
June 14th 2019, 12:00:06 a	0.01	1649
June 14th 2019, 12:02:05 a	0.1	1580
June 14th 2019, 12:03:07 a	0	1551
June 14th 2019, 12:05:06 a	0.1	1554
June 14th 2019, 12:06:05 a	0.1	1585
June 14th 2019, 12:07:05 a	0.09	1618
June 14th 2019, 12:08:06 a	0.1	1605
June 14th 2019, 12:09:06 a	0.09	1541
June 14th 2019, 12:10:05 a	0.07	1584
June 14th 2019, 12:11:05 a	0.09	1624
June 14th 2019, 12:12:06 a	0.1	1573
June 14th 2019, 12:13:05 a	0.07	1465
June 14th 2019, 12:14:05 a	0.08	1584
June 14th 2019, 12:15:06 a	0.1	1581
June 14th 2019, 12:16:05 a	0.09	1584
June 14th 2019, 12:17:06 a	0.09	1569
June 14th 2019, 12:18:06 a	0.1	1569
June 14th 2019, 12:19:06 a	0.09	1590
June 14th 2019, 12:20:06 a	0.08	1512
June 14th 2019, 12:21:05 a	0.01	1576
June 14th 2019, 12:22:06 a	0.03	1568
June 14th 2019, 12:23:06 a	0.09	1557
June 14th 2019, 12:24:06 a	0.09	1576
June 14th 2019, 12:25:06 a	0.01	1551
June 14th 2019, 12:26:06 a	0.09	1574
June 14th 2019, 12:27:06 a	0.09	1581
June 14th 2019, 12:28:07 a	0.08	1554
June 14th 2019, 12:29:06 a	0.1	1542
June 14th 2019, 12:30:07 a	0.09	1594
June 14th 2019, 12:31:06 a	0.09	1589
June 14th 2019, 12:32:06 a	0.1	1570
June 14th 2019, 12:36:06 a	0.03	1587
June 14th 2019, 12:37:09 a	0.04	1583
June 14th 2019, 12:38:06 a	0.09	1570
June 14th 2019, 12:39:06 a	0.09	1584
June 14th 2019, 12:40:07 a	0	1580
June 14th 2019, 12:41:06 a	0.04	1589
June 14th 2019, 12:42:06 a	0.03	1579
June 14th 2019, 12:44:07 a	0.1	1581
June 14th 2019, 12:45:07 a	0.03	1571
June 14th 2019, 12:46:07 a	0.09	1565
June 14th 2019, 12:47:07 a	0.02	1586
June 14th 2019, 12:48:07 a	0.03	1588
June 14th 2019, 12:49:07 a	0.04	1550
June 14th 2019, 12:50:07 a	0.03	1487
June 14th 2019, 12:51:08 a	0.08	1606
June 14th 2019, 12:52:06 a	0.03	1573
June 14th 2019, 12:53:07 a	0.04	1582
June 14th 2019, 12:54:06 a	0.04	1553
June 14th 2019, 12:55:08 a	0.04	1464
June 14th 2019, 12:56:08 a	0.07	1654
June 14th 2019, 1:00:07 a	0.04	1553
June 14th 2019, 1:01:07 a	0.03	1584
June 14th 2019, 1:02:07 a	0.04	1537
June 14th 2019, 1:03:07 a	0.03	1560
June 14th 2019, 1:04:07 a	0.04	1580
June 14th 2019, 1:05:07 a	0.04	1592
June 14th 2019, 1:06:07 a	0.04	1532
June 14th 2019, 1:07:07 a	0.04	1581
June 14th 2019, 1:08:07 a	0	1577
June 14th 2019, 1:09:07 a	0.02	1584
June 14th 2019, 1:10:08 a	0.04	1570
June 14th 2019, 1:11:07 a	0.01	1573
June 14th 2019, 1:12:07 a	0.01	1517
June 14th 2019, 1:13:07 a	0.04	1576
June 14th 2019, 1:14:07 a	0.03	1595
June 14th 2019, 1:15:08 a	0.04	1568
June 14th 2019, 1:16:08 a	0.04	1606
June 14th 2019, 1:18:08 a	0.04	1676
June 14th 2019, 1:19:07 a	0.03	1577
June 14th 2019, 1:21:08 a	0.03	1584
June 14th 2019, 1:22:08 a	0.04	1590
June 14th 2019, 1:23:08 a	0.02	1539
June 14th 2019, 1:24:09 a	0.01	1585
June 14th 2019, 1:25:08 a	0.04	1575
June 14th 2019, 1:26:08 a	0.01	1570
June 14th 2019, 1:27:08 a	0.01	1579
June 14th 2019, 1:28:08 a	0.03	1638
June 14th 2019, 1:29:07 a	0.01	1544
June 14th 2019, 1:30:08 a	0.03	1552
June 14th 2019, 1:32:08 a	0.03	1588
June 14th 2019, 1:33:08 a	0.1	1545
June 14th 2019, 1:34:09 a	0.02	1540
June 14th 2019, 1:35:08 a	0.01	1600
June 14th 2019, 1:36:08 a	0.03	1553
June 14th 2019, 1:37:08 a	0.02	1575
June 14th 2019, 1:38:08 a	0.01	1588
June 14th 2019, 1:39:08 a	0.01	1546
June 14th 2019, 1:41:09 a	0.01	1575
June 14th 2019, 1:42:09 a	0.01	1572
June 14th 2019, 1:45:08 a	0	1504
June 14th 2019, 1:46:09 a	0.02	1595
June 14th 2019, 1:47:09 a	0.02	1696
June 14th 2019, 1:48:08 a	0.01	1595
June 14th 2019, 1:49:08 a	0.02	1586
June 14th 2019, 1:50:09 a	0.01	1576
June 14th 2019, 1:51:09 a	0.07	1575
June 14th 2019, 1:52:09 a	0.08	1626
June 14th 2019, 1:53:09 a	0.02	1634
June 14th 2019, 1:54:09 a	0.01	1590
June 14th 2019, 1:55:09 a	0.09	1564
June 14th 2019, 1:56:08 a	0.01	1560
June 14th 2019, 1:57:09 a	0	1581
June 14th 2019, 1:59:10 a	0.02	1573
June 14th 2019, 2:00:09 a	0.02	1569
June 14th 2019, 2:01:09 a	0.07	1571
June 14th 2019, 2:02:09 a	0.08	1542
June 14th 2019, 2:03:09 a	0.1	1550
June 14th 2019, 2:04:09 a	0	1574
June 14th 2019, 2:05:10 a	0.09	1568
June 14th 2019, 2:06:09 a	0.01	1545
June 14th 2019, 2:07:10 a	0.11	1560
June 14th 2019, 2:08:09 a	0.01	1563
June 14th 2019, 2:09:09 a	0.08	1597
June 14th 2019, 2:10:09 a	0.01	1540
June 14th 2019, 2:11:10 a	0.09	1572
June 14th 2019, 2:12:10 a	0.1	1580
June 14th 2019, 2:13:09 a	0	1722
June 14th 2019, 2:14:09 a	0.11	1568
June 14th 2019, 2:15:09 a	0.02	1526
June 14th 2019, 2:16:10 a	0	1594
June 14th 2019, 2:17:10 a	0.02	1578
June 14th 2019, 2:18:09 a	0.11	1569
